# Force coefficients
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 1.000000e+00
# lRef        : 2.000000e-01
# Aref        : 2.000000e-01
# CofR        : (3.000000e+00 2.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
0             	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.005         	1.362104e+02	5.446818e+01	4.897551e+01	1.606982e+02	-1.117227e+02
0.01          	-6.938882e+00	-2.806521e+00	-1.306224e+00	-7.591994e+00	6.285770e+00
0.015         	-1.215628e+01	-4.920941e+00	4.012307e+00	-1.015013e+01	1.416244e+01
0.02          	2.563166e+00	1.057254e+00	3.752530e+00	4.439431e+00	-6.869009e-01
0.025         	1.533849e+01	4.772775e+00	9.396482e-01	1.580831e+01	-1.486866e+01
0.03          	3.094696e+01	7.750414e+00	1.206117e+01	3.697755e+01	-2.491638e+01
0.035         	4.993538e+01	2.649330e+01	2.997245e+02	1.997976e+02	9.992690e+01
0.04          	9.547088e+02	3.381916e+02	1.889944e+03	1.899681e+03	-9.737021e+00
0.045         	5.585920e+03	1.624681e+03	1.506182e+04	1.311683e+04	1.944990e+03
0.05          	2.466766e+05	4.971185e+04	1.923674e+05	3.428603e+05	-1.504928e+05
0.055         	3.022352e+06	-3.244893e+05	6.908907e+06	6.476805e+06	4.321013e+05
0.06          	-1.078958e+08	-4.404915e+07	-1.049630e+07	-1.131439e+08	1.026476e+08
0.065         	8.298725e+09	2.373605e+09	-6.535026e+09	5.031213e+09	-1.156624e+10
0.07          	3.087376e+12	9.414442e+11	-2.354823e+12	1.909965e+12	-4.264787e+12
0.075         	-1.620674e+15	-4.167928e+14	-8.232486e+13	-1.661836e+15	1.579511e+15
0.08          	-2.103896e+17	-3.334084e+16	1.038919e+17	-1.584437e+17	2.623356e+17
0.085         	1.459224e+20	4.590092e+19	3.463356e+18	1.476541e+20	-1.441908e+20
0.09          	-1.813738e+22	-5.938555e+21	-2.030671e+22	-2.829074e+22	7.984027e+21
0.095         	5.279016e+24	1.943919e+24	1.505052e+24	6.031542e+24	-4.526490e+24
0.1           	3.454638e+26	7.786973e+25	3.846673e+26	5.377975e+26	-1.531302e+26
0.105         	-2.096642e+29	-7.039164e+28	-1.525143e+29	-2.859214e+29	1.334071e+29
0.11          	-2.909360e+30	-4.219417e+30	1.171144e+31	2.946362e+30	8.765082e+30
0.115         	2.787010e+35	9.600557e+34	1.007209e+35	3.290615e+35	-2.283406e+35
0.12          	1.790944e+37	3.961966e+36	-3.397755e+36	1.621056e+37	-1.960831e+37
