# Force coefficients
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 1.500000e+00
# lRef        : 4.000000e-01
# Aref        : 4.000000e-01
# CofR        : (5.000000e+00 2.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
0             	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.000666667   	1.756026e+03	1.404774e+03	-2.250726e+04	-9.497606e+03	-1.300966e+04
0.00133333    	-8.136815e+02	-6.508540e+02	1.113950e+04	4.756070e+03	6.383433e+03
0.002         	-1.003396e+02	-8.036511e+01	1.069871e+02	-4.684605e+01	1.538332e+02
0.00266667    	8.845851e+00	7.145849e+00	-1.224745e+01	2.722125e+00	-1.496958e+01
0.00333333    	1.423371e+01	1.139448e+01	-1.165280e+01	8.407316e+00	-2.006011e+01
0.004         	3.059049e+00	2.433418e+00	-2.584367e+00	1.766865e+00	-4.351232e+00
0.00466667    	2.847014e-01	2.226038e-01	-5.829170e-01	-6.757090e-03	-5.761599e-01
0.00533333    	-8.977421e-02	-7.452447e-02	2.798533e-01	5.015243e-02	2.297009e-01
0.006         	5.647922e-02	4.258404e-02	3.995004e-01	2.562294e-01	1.432710e-01
0.00666667    	2.835603e-01	2.248450e-01	3.815241e-01	4.743223e-01	-9.279824e-02
0.00733333    	4.428417e-01	3.532416e-01	3.849166e-01	6.353000e-01	-2.503835e-01
0.008         	5.179051e-01	4.136280e-01	3.996554e-01	7.177327e-01	-3.180774e-01
0.00866667    	5.294647e-01	4.231627e-01	4.155222e-01	7.372258e-01	-3.217036e-01
0.00933333    	5.209320e-01	4.162458e-01	4.353463e-01	7.386051e-01	-3.032588e-01
0.01          	4.992362e-01	3.988686e-01	4.568776e-01	7.276750e-01	-2.707974e-01
0.0106667     	4.812333e-01	3.844174e-01	4.666526e-01	7.145596e-01	-2.479070e-01
0.0113333     	4.683224e-01	3.742251e-01	4.785534e-01	7.075992e-01	-2.290457e-01
0.012         	4.563100e-01	3.646649e-01	4.823128e-01	6.974664e-01	-2.151535e-01
0.0126667     	4.445794e-01	3.553807e-01	4.797644e-01	6.844616e-01	-2.046972e-01
0.0133333     	4.364141e-01	3.488681e-01	4.786503e-01	6.757393e-01	-1.970890e-01
0.014         	4.266246e-01	3.410484e-01	4.795783e-01	6.664137e-01	-1.868354e-01
0.0146667     	4.184051e-01	3.344323e-01	4.814401e-01	6.591251e-01	-1.776850e-01
0.0153333     	4.162627e-01	3.327051e-01	4.878814e-01	6.602034e-01	-1.723220e-01
0.016         	4.139836e-01	3.309081e-01	4.904993e-01	6.592333e-01	-1.687340e-01
0.0166667     	4.144079e-01	3.312900e-01	4.917249e-01	6.602704e-01	-1.685455e-01
0.0173333     	4.134874e-01	3.306012e-01	4.928078e-01	6.598914e-01	-1.670835e-01
0.018         	4.135256e-01	3.306956e-01	4.954854e-01	6.612684e-01	-1.657829e-01
0.0186667     	4.150181e-01	3.318867e-01	4.943346e-01	6.621854e-01	-1.678508e-01
0.0193333     	4.176699e-01	3.340236e-01	4.964741e-01	6.659070e-01	-1.694329e-01
0.02          	4.160304e-01	3.327101e-01	4.990515e-01	6.655561e-01	-1.665047e-01
0.0206667     	4.133429e-01	3.306037e-01	5.047683e-01	6.657270e-01	-1.609587e-01
0.0213333     	4.123025e-01	3.298086e-01	5.060260e-01	6.653155e-01	-1.592895e-01
0.022         	4.120041e-01	3.295526e-01	5.052865e-01	6.646474e-01	-1.593609e-01
0.0226667     	4.121607e-01	3.296826e-01	5.043638e-01	6.643426e-01	-1.599788e-01
0.0233333     	4.126520e-01	3.301069e-01	5.057213e-01	6.655127e-01	-1.597914e-01
0.024         	4.139841e-01	3.312026e-01	5.069966e-01	6.674824e-01	-1.604858e-01
0.0246667     	4.164915e-01	3.332034e-01	5.076243e-01	6.703037e-01	-1.626794e-01
0.0253333     	4.176894e-01	3.341787e-01	5.077493e-01	6.715641e-01	-1.638148e-01
0.026         	4.186416e-01	3.349373e-01	5.075125e-01	6.723979e-01	-1.648854e-01
0.0266667     	4.193276e-01	3.354699e-01	5.066479e-01	6.726515e-01	-1.660036e-01
0.0273333     	4.205202e-01	3.364106e-01	5.046544e-01	6.728474e-01	-1.681930e-01
0.028         	4.216810e-01	3.373605e-01	5.024730e-01	6.729175e-01	-1.704445e-01
0.0286667     	4.230210e-01	3.384110e-01	5.022303e-01	6.741361e-01	-1.719058e-01
0.0293333     	4.251440e-01	3.401185e-01	5.022384e-01	6.762632e-01	-1.740248e-01
0.03          	4.275957e-01	3.420868e-01	5.021770e-01	6.786842e-01	-1.765072e-01
0.0306667     	4.308598e-01	3.446867e-01	5.013714e-01	6.815455e-01	-1.801741e-01
0.0313333     	4.341335e-01	3.472563e-01	5.007951e-01	6.845310e-01	-1.837359e-01
0.032         	4.360452e-01	3.487642e-01	5.004832e-01	6.862868e-01	-1.858036e-01
0.0326667     	4.377660e-01	3.501022e-01	5.007324e-01	6.881322e-01	-1.873997e-01
0.0333333     	4.384070e-01	3.506432e-01	4.994644e-01	6.881392e-01	-1.886748e-01
0.034         	4.391536e-01	3.512765e-01	4.993187e-01	6.888130e-01	-1.894943e-01
0.0346667     	4.407982e-01	3.525877e-01	5.008217e-01	6.912091e-01	-1.903874e-01
0.0353333     	4.414670e-01	3.530598e-01	5.012189e-01	6.920765e-01	-1.908576e-01
0.036         	4.414458e-01	3.530221e-01	5.010246e-01	6.919581e-01	-1.909335e-01
0.0366667     	4.415213e-01	3.531471e-01	5.005491e-01	6.917958e-01	-1.912468e-01
0.0373333     	4.422558e-01	3.537098e-01	5.004638e-01	6.924877e-01	-1.920239e-01
