# Force coefficients
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 1.000000e+00
# lRef        : 2.000000e-01
# Aref        : 2.000000e-01
# CofR        : (3.000000e+00 2.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
0             	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.006         	3.356028e+02	1.349854e+02	-2.063420e-01	3.354996e+02	-3.357060e+02
0.00618658    	7.537244e+02	3.088648e+02	-1.755541e+01	7.449467e+02	-7.625021e+02
0.00634717    	-1.153746e+02	-4.200511e+01	2.059093e+00	-1.143450e+02	1.164041e+02
0.00653988    	-1.338669e+02	-5.346242e+01	1.787436e+00	-1.329732e+02	1.347607e+02
0.00674386    	-1.666584e+01	-9.140783e+00	5.014083e-01	-1.641514e+01	1.691654e+01
0.00693746    	-1.396538e+00	-9.507850e-01	-6.995698e-01	-1.746323e+00	1.046753e+00
0.00714293    	1.667736e+01	6.806805e+00	-1.288852e-02	1.667092e+01	-1.668381e+01
0.00738949    	1.585297e+01	6.637143e+00	-5.503226e-02	1.582546e+01	-1.588049e+01
0.00766691    	1.339462e+01	5.477950e+00	-7.473667e-02	1.335726e+01	-1.343199e+01
0.00795454    	7.674200e+00	3.084111e+00	-4.691637e-02	7.650742e+00	-7.697658e+00
0.0082659     	3.237675e+00	1.316205e+00	-3.436031e-02	3.220495e+00	-3.254855e+00
0.00860966    	2.110237e+00	8.694863e-01	-1.117241e-02	2.104651e+00	-2.115824e+00
0.008992      	1.854808e+00	7.613893e-01	-1.149006e-02	1.849063e+00	-1.860553e+00
0.00938794    	1.115106e+00	4.528216e-01	-6.175782e-03	1.112018e+00	-1.118194e+00
0.00979987    	8.206882e-01	3.364544e-01	-1.997936e-02	8.106985e-01	-8.306779e-01
0.0102302     	6.079759e-01	2.472320e-01	-2.074289e-03	6.069387e-01	-6.090130e-01
0.0106811     	2.956250e-01	1.251950e-01	-1.710078e-02	2.870746e-01	-3.041754e-01
0.0111535     	-6.360033e-02	-2.103888e-02	-3.064196e-03	-6.513243e-02	6.206823e-02
0.0116365     	-2.735777e-01	-1.098625e-01	-1.734943e-03	-2.744452e-01	2.727102e-01
0.0121327     	-2.391969e-01	-9.864985e-02	-4.163815e-03	-2.412788e-01	2.371150e-01
0.0126461     	-2.146332e-01	-8.496329e-02	-5.061913e-03	-2.171641e-01	2.121022e-01
0.0131693     	-1.818977e-01	-6.896527e-02	-2.028584e-04	-1.819991e-01	1.817962e-01
0.0137003     	-9.331232e-02	-3.839903e-02	-5.969524e-03	-9.629708e-02	9.032756e-02
0.0142322     	-1.285851e-01	-5.181282e-02	-6.977528e-03	-1.320739e-01	1.250963e-01
0.0147675     	1.328824e-02	3.431964e-03	4.407433e-03	1.549195e-02	-1.108452e-02
0.0153095     	9.387604e-02	3.820013e-02	8.336369e-04	9.429285e-02	-9.345922e-02
0.015855      	2.080264e-01	8.181863e-02	1.494507e-04	2.081011e-01	-2.079517e-01
0.0164026     	1.757308e-01	7.040596e-02	3.772573e-04	1.759194e-01	-1.755421e-01
0.016956      	1.765840e-01	7.017020e-02	-1.255008e-03	1.759565e-01	-1.772115e-01
0.0175182     	2.016433e-01	7.978614e-02	-1.347863e-03	2.009694e-01	-2.023172e-01
0.0180843     	2.204614e-01	8.870172e-02	1.663517e-03	2.212931e-01	-2.196296e-01
0.0186546     	2.451565e-01	9.774732e-02	-7.139944e-03	2.415865e-01	-2.487265e-01
0.0192317     	2.880340e-01	1.151221e-01	3.397686e-04	2.882039e-01	-2.878642e-01
0.0198141     	3.104298e-01	1.239151e-01	2.106973e-04	3.105352e-01	-3.103245e-01
0.0203986     	3.211516e-01	1.286252e-01	-1.007904e-04	3.211012e-01	-3.212020e-01
0.0209881     	3.474685e-01	1.399665e-01	1.022894e-03	3.479800e-01	-3.469571e-01
0.0215848     	3.566493e-01	1.430465e-01	-3.383122e-03	3.549578e-01	-3.583409e-01
0.0221906     	3.425612e-01	1.368452e-01	-5.704099e-03	3.397092e-01	-3.454133e-01
0.0228037     	3.205293e-01	1.269080e-01	-1.905267e-03	3.195766e-01	-3.214819e-01
0.0234216     	2.989481e-01	1.184011e-01	-2.907872e-03	2.974941e-01	-3.004020e-01
0.0240461     	2.987685e-01	1.191776e-01	-1.820826e-03	2.978581e-01	-2.996790e-01
0.0246781     	3.297287e-01	1.318388e-01	-4.139753e-04	3.295217e-01	-3.299357e-01
0.025319      	3.063740e-01	1.227201e-01	-1.160609e-03	3.057937e-01	-3.069543e-01
0.0259694     	2.798633e-01	1.115894e-01	-4.054276e-04	2.796606e-01	-2.800661e-01
0.0266262     	2.883566e-01	1.153903e-01	2.836990e-04	2.884985e-01	-2.882148e-01
0.02729       	2.852373e-01	1.140868e-01	3.247931e-04	2.853997e-01	-2.850749e-01
0.0279618     	2.600614e-01	1.035959e-01	-1.902887e-03	2.591099e-01	-2.610128e-01
0.0286425     	2.617368e-01	1.036205e-01	7.763468e-04	2.621249e-01	-2.613486e-01
0.029331      	2.666384e-01	1.063734e-01	-2.533888e-03	2.653715e-01	-2.679054e-01
0.0300244     	2.493487e-01	9.991686e-02	-1.523437e-03	2.485870e-01	-2.501104e-01
0.0307232     	2.235687e-01	9.007720e-02	2.771012e-03	2.249542e-01	-2.221832e-01
0.0314283     	2.162723e-01	8.573339e-02	-1.673822e-03	2.154354e-01	-2.171092e-01
0.0321402     	2.463927e-01	9.731288e-02	-3.542612e-04	2.462156e-01	-2.465699e-01
0.0328585     	2.377449e-01	9.499164e-02	-7.999318e-04	2.373450e-01	-2.381449e-01
0.0335805     	2.433080e-01	9.752865e-02	1.480000e-04	2.433820e-01	-2.432340e-01
0.0343035     	2.651095e-01	1.058017e-01	-3.111819e-03	2.635535e-01	-2.666654e-01
0.0350295     	2.866753e-01	1.145776e-01	1.581914e-03	2.874662e-01	-2.858843e-01
0.0357569     	2.806078e-01	1.123652e-01	1.755660e-03	2.814856e-01	-2.797299e-01
0.0364834     	2.877751e-01	1.151593e-01	4.467303e-04	2.879984e-01	-2.875517e-01
0.037212      	2.916461e-01	1.167029e-01	1.970677e-03	2.926314e-01	-2.906607e-01
0.0379448     	3.044543e-01	1.215684e-01	-1.528371e-03	3.036901e-01	-3.052185e-01
