# Force coefficients
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 1.000000e+00
# lRef        : 2.000000e-01
# Aref        : 2.000000e-01
# CofR        : (5.000000e+00 2.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
0             	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.0005        	3.488510e+03	1.395023e+03	-9.587793e+03	-1.305386e+03	-8.282407e+03
0.001         	-1.354978e+03	-5.407849e+02	4.601363e+03	9.457029e+02	3.655660e+03
0.0015        	-4.672390e+02	-1.877854e+02	1.640104e+02	-3.852338e+02	5.492442e+02
0.002         	3.029377e+01	1.230719e+01	3.198192e+00	3.189287e+01	-2.869468e+01
0.0025        	4.976744e+01	2.015228e+01	-8.290316e+00	4.562229e+01	-5.391260e+01
0.003         	3.466149e+01	1.400802e+01	-4.824021e+00	3.224948e+01	-3.707350e+01
0.0035        	1.754716e+01	6.993722e+00	-9.214494e-01	1.708644e+01	-1.800789e+01
0.004         	1.151964e+01	4.588413e+00	2.374310e-01	1.163836e+01	-1.140093e+01
0.0045        	1.014648e+01	4.053104e+00	5.118088e-01	1.040239e+01	-9.890581e+00
0.005         	9.904202e+00	3.956740e+00	4.352088e-01	1.012181e+01	-9.686597e+00
0.0055        	9.811249e+00	3.921428e+00	4.183300e-01	1.002041e+01	-9.602084e+00
0.006         	9.686932e+00	3.872135e+00	4.172790e-01	9.895571e+00	-9.478292e+00
0.0065        	9.525559e+00	3.808364e+00	3.981757e-01	9.724647e+00	-9.326471e+00
0.007         	9.329738e+00	3.731120e+00	3.898431e-01	9.524660e+00	-9.134817e+00
0.0075        	9.115749e+00	3.645889e+00	3.840120e-01	9.307755e+00	-8.923743e+00
0.008         	8.902223e+00	3.560559e+00	3.825454e-01	9.093496e+00	-8.710950e+00
0.0085        	8.691273e+00	3.476287e+00	3.845433e-01	8.883544e+00	-8.499001e+00
0.009         	8.489633e+00	3.395781e+00	3.863394e-01	8.682802e+00	-8.296463e+00
0.0095        	8.298648e+00	3.319689e+00	3.888808e-01	8.493089e+00	-8.104208e+00
0.01          	8.122058e+00	3.249190e+00	3.895881e-01	8.316852e+00	-7.927264e+00
0.0105        	7.957585e+00	3.183295e+00	3.909691e-01	8.153069e+00	-7.762100e+00
0.011         	7.803384e+00	3.121335e+00	3.924591e-01	7.999613e+00	-7.607154e+00
0.0115        	7.660725e+00	3.064077e+00	3.940325e-01	7.857741e+00	-7.463709e+00
0.012         	7.523995e+00	3.009246e+00	3.946546e-01	7.721322e+00	-7.326668e+00
0.0125        	7.390503e+00	2.955782e+00	3.952236e-01	7.588115e+00	-7.192891e+00
0.013         	7.262847e+00	2.904682e+00	3.960383e-01	7.460866e+00	-7.064828e+00
0.0135        	7.145440e+00	2.857689e+00	3.965960e-01	7.343738e+00	-6.947142e+00
0.014         	7.063160e+00	2.824698e+00	3.943896e-01	7.260355e+00	-6.865965e+00
0.0145        	6.946560e+00	2.778090e+00	3.977404e-01	7.145431e+00	-6.747690e+00
0.015         	6.836750e+00	2.734111e+00	3.948396e-01	7.034169e+00	-6.639330e+00
0.0155        	6.729267e+00	2.691030e+00	3.948333e-01	6.926683e+00	-6.531850e+00
