# Force coefficients
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 1.000000e+00
# lRef        : 2.000000e-01
# Aref        : 2.000000e-01
# CofR        : (3.000000e+00 2.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
0             	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.006         	8.835035e+01	3.554677e+01	1.511011e+01	9.590541e+01	-8.079529e+01
0.00621767    	3.697254e+02	1.484465e+02	9.785783e+01	4.186543e+02	-3.207965e+02
0.00641881    	-8.695148e+01	-3.278360e+01	2.420165e+01	-7.485066e+01	9.905231e+01
0.0065668     	-9.263189e+01	-3.876610e+01	5.936501e+01	-6.294938e+01	1.223144e+02
0.00664988    	-1.745113e+01	-9.352570e+00	9.222782e+01	2.866278e+01	6.356504e+01
0.00670332    	2.167312e+01	6.805302e+00	9.507307e+01	6.920965e+01	2.586342e+01
0.00673846    	4.167653e+01	1.670160e+01	1.555014e+02	1.194272e+02	3.607418e+01
0.00676203    	6.221333e+01	2.611902e+01	3.034199e+02	2.139233e+02	8.949661e+01
0.00677791    	4.282109e+01	2.639118e+01	5.977575e+02	3.416999e+02	2.560577e+02
0.00678868    	-7.460037e+01	-2.121772e+00	1.109608e+03	4.802036e+02	6.294043e+02
0.00679596    	-8.956499e+01	1.474967e+01	2.406053e+03	1.113461e+03	1.292591e+03
0.00680092    	-2.105614e+02	3.757452e+01	5.029518e+03	2.304198e+03	2.725321e+03
0.00680428    	-1.767233e+02	2.103159e+02	1.091849e+04	5.282523e+03	5.635970e+03
0.00680657    	1.139096e+03	9.857552e+02	2.280917e+04	1.254368e+04	1.026549e+04
0.00680812    	2.760848e+03	2.503409e+03	4.837872e+04	2.695021e+04	2.142851e+04
0.00680918    	-1.902521e+03	2.712178e+03	1.012431e+05	4.871901e+04	5.252405e+04
0.0068099     	1.560664e+02	7.269424e+03	2.259273e+05	1.131197e+05	1.128076e+05
0.00681039    	-5.095848e+02	1.436826e+04	4.688004e+05	2.338906e+05	2.349098e+05
0.00681072    	-1.777052e+04	2.642786e+04	1.042541e+06	5.035002e+05	5.390412e+05
0.00681095    	-2.273718e+04	5.674626e+04	2.219713e+06	1.087119e+06	1.132593e+06
0.0068111     	4.459714e+04	1.509917e+05	4.989410e+06	2.539302e+06	2.450108e+06
0.0068112     	1.460971e+05	3.200245e+05	1.051691e+07	5.404553e+06	5.112359e+06
0.00681128    	5.998967e+05	7.579715e+05	2.327917e+07	1.223948e+07	1.103969e+07
0.00681132    	1.463832e+06	1.596412e+06	4.879257e+07	2.586012e+07	2.293245e+07
0.00681136    	3.421924e+06	3.131540e+06	1.080179e+08	5.743089e+07	5.058705e+07
0.00681138    	9.771386e+06	7.079843e+06	2.279469e+08	1.237448e+08	1.042021e+08
0.006811394   	2.543982e+07	1.553655e+07	5.068687e+08	2.788742e+08	2.279945e+08
0.006811405   	6.472346e+07	3.474164e+07	1.068209e+09	5.988278e+08	4.693808e+08
0.006811412   	1.626916e+08	7.844341e+07	2.371597e+09	1.348490e+09	1.023107e+09
0.006811416   	3.971593e+08	1.751548e+08	5.006187e+09	2.900253e+09	2.105934e+09
0.0068114196  	9.459522e+08	3.829642e+08	1.110686e+10	6.499381e+09	4.607477e+09
0.0068114218  	2.195796e+09	8.337060e+08	2.344540e+10	1.391850e+10	9.526903e+09
0.0068114232  	5.106067e+09	1.832226e+09	5.197248e+10	3.109231e+10	2.088017e+10
0.0068114243  	1.162128e+10	4.009000e+09	1.097047e+11	6.647365e+10	4.323110e+10
0.006811425   	2.621525e+10	8.694048e+09	2.432039e+11	1.478172e+11	9.538672e+10
0.0068114254  	5.881356e+10	1.894435e+10	5.136784e+11	3.156528e+11	1.980256e+11
0.00681142575 	1.314734e+11	4.123331e+10	1.138663e+12	7.008047e+11	4.378578e+11
0.00681142596 	2.916891e+11	8.984757e+10	2.406028e+12	1.494703e+12	9.113250e+11
0.00681142611 	6.427590e+11	1.948017e+11	5.332271e+12	3.308894e+12	2.023376e+12
0.00681142621 	1.417799e+12	4.274661e+11	1.126739e+13	7.051491e+12	4.215894e+12
0.00681142628 	3.081292e+12	9.205409e+11	2.496576e+13	1.556417e+13	9.401586e+12
0.00681142633 	6.733047e+12	2.019417e+12	5.275860e+13	3.311235e+13	1.964625e+13
0.00681142636 	1.439532e+13	4.304351e+12	1.169179e+14	7.285426e+13	4.406362e+13
0.00681142638 	3.127909e+13	9.458381e+12	2.470821e+14	1.548201e+14	9.226194e+13
0.006811426393	6.607093e+13	1.999061e+13	5.476494e+14	3.398957e+14	2.077538e+14
0.006811426403	1.429397e+14	4.406182e+13	1.157422e+15	7.216509e+14	4.357715e+14
0.00681142641 	2.987699e+14	9.261512e+13	2.565713e+15	1.581626e+15	9.840866e+14
