# Force coefficients
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 1.000000e+00
# lRef        : 2.000000e-01
# Aref        : 2.000000e-01
# CofR        : (3.000000e+00 2.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
0             	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.006         	4.879915e+02	1.984403e+02	-4.243311e+01	4.667750e+02	-5.092081e+02
0.00612681    	1.067432e+03	4.374642e+02	-5.681775e+00	1.064591e+03	-1.070273e+03
0.00619979    	-3.087967e+02	-1.096796e+02	1.938632e+02	-2.118651e+02	4.057283e+02
0.00626479    	-2.710364e+02	-1.119763e+02	3.692901e+02	-8.639136e+01	4.556815e+02
0.00630631    	-1.956137e+02	-9.589292e+01	4.696228e+02	3.919774e+01	4.304251e+02
0.00633217    	6.247857e+01	1.967926e+01	4.932985e+02	3.091278e+02	1.841707e+02
0.00634854    	1.416047e+02	5.140831e+01	6.215540e+02	4.523816e+02	1.691723e+02
0.00635938    	3.399663e+02	1.552552e+02	1.216428e+03	9.481802e+02	2.682475e+02
0.00636665    	2.024866e+02	1.599288e+02	2.338169e+03	1.371571e+03	9.665981e+02
0.00637157    	1.931681e+02	2.220458e+02	4.667152e+03	2.526744e+03	2.140408e+03
0.0063749     	5.487723e+02	5.485600e+02	1.022298e+04	5.660265e+03	4.562720e+03
0.00637716    	-1.370238e+03	3.048360e+02	2.275324e+04	1.000638e+04	1.274686e+04
0.00637869    	1.407968e+03	2.212679e+03	5.107651e+04	2.694623e+04	2.413029e+04
0.00637974    	8.272007e+03	6.635455e+03	1.052584e+05	6.090121e+04	4.435719e+04
0.00638045    	4.305675e+03	1.026489e+04	2.255225e+05	1.170669e+05	1.084556e+05
0.00638093    	6.750457e+03	2.362887e+04	4.843655e+05	2.489332e+05	2.354323e+05
0.00638126    	2.174793e+04	5.045711e+04	1.046664e+06	5.450801e+05	5.015843e+05
0.00638148    	-2.140071e+04	8.547240e+04	2.244079e+06	1.100639e+06	1.143440e+06
0.00638163    	-2.859513e+04	1.856263e+05	4.946423e+06	2.444616e+06	2.501807e+06
0.00638174    	5.714456e+04	4.070851e+05	1.068978e+07	5.402035e+06	5.287746e+06
0.00638181    	4.810400e+05	9.844421e+05	2.330407e+07	1.213307e+07	1.117099e+07
0.00638185    	1.550525e+06	2.137084e+06	4.985630e+07	2.647867e+07	2.337762e+07
0.006381886   	4.492233e+06	4.876117e+06	1.086492e+08	5.881682e+07	4.983235e+07
0.006381908   	1.020339e+07	9.641947e+06	2.323039e+08	1.263554e+08	1.059486e+08
0.006381923   	2.667877e+07	2.083911e+07	5.046112e+08	2.789844e+08	2.256268e+08
