# Force coefficients
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 1.000000e+00
# lRef        : 2.000000e-01
# Aref        : 2.000000e-01
# CofR        : (5.000000e+00 2.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
0             	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.0005        	7.822557e+02	3.128456e+02	-1.348026e+03	1.082426e+02	-1.456269e+03
0.001         	-2.554316e+02	-1.019874e+02	6.446289e+02	6.688285e+01	5.777460e+02
0.0015        	-1.453350e+02	-5.800399e+01	1.997363e+01	-1.353481e+02	1.553218e+02
0.002         	8.215436e+00	3.073055e+00	1.497331e+00	8.964102e+00	-7.466770e+00
0.0025        	1.057835e+01	4.252922e+00	-1.068833e+00	1.004394e+01	-1.111277e+01
0.003         	9.958753e+00	3.946982e+00	5.142945e-02	9.984467e+00	-9.933038e+00
0.0035        	4.705759e+00	1.902487e+00	1.279830e-01	4.769750e+00	-4.641767e+00
0.004         	2.931003e+00	1.178694e+00	7.715959e-02	2.969583e+00	-2.892423e+00
0.0045        	2.452081e+00	9.832977e-01	1.064816e-01	2.505322e+00	-2.398840e+00
0.005         	2.405212e+00	9.627381e-01	1.282839e-01	2.469353e+00	-2.341070e+00
0.0055        	2.408873e+00	9.643011e-01	1.320049e-01	2.474875e+00	-2.342870e+00
0.006         	2.388591e+00	9.559250e-01	1.257620e-01	2.451472e+00	-2.325710e+00
0.0065        	2.321768e+00	9.295134e-01	1.028473e-01	2.373192e+00	-2.270344e+00
0.007         	2.245415e+00	8.990246e-01	7.834550e-02	2.284588e+00	-2.206243e+00
0.0075        	2.177850e+00	8.719411e-01	5.790396e-02	2.206802e+00	-2.148898e+00
0.008         	2.114413e+00	8.462561e-01	4.557633e-02	2.137201e+00	-2.091625e+00
0.0085        	2.054937e+00	8.221925e-01	3.429274e-02	2.072084e+00	-2.037791e+00
0.009         	2.000304e+00	8.002614e-01	2.472444e-02	2.012667e+00	-1.987942e+00
0.0095        	1.953294e+00	7.812272e-01	1.633995e-02	1.961464e+00	-1.945124e+00
0.01          	1.904999e+00	7.617404e-01	9.742133e-03	1.909870e+00	-1.900128e+00
0.0105        	1.860409e+00	7.439457e-01	3.238071e-03	1.862028e+00	-1.858790e+00
0.011         	1.818882e+00	7.273854e-01	-4.507079e-03	1.816629e+00	-1.821136e+00
0.0115        	1.780424e+00	7.120759e-01	-1.100621e-02	1.774921e+00	-1.785927e+00
0.012         	1.746303e+00	6.984780e-01	-1.686371e-02	1.737871e+00	-1.754734e+00
0.0125        	1.715447e+00	6.861349e-01	-2.223470e-02	1.704330e+00	-1.726565e+00
0.013         	1.687374e+00	6.749040e-01	-2.665517e-02	1.674046e+00	-1.700701e+00
0.0135        	1.661671e+00	6.646465e-01	-3.049046e-02	1.646425e+00	-1.676916e+00
0.014         	1.637965e+00	6.551217e-01	-3.392995e-02	1.621000e+00	-1.654930e+00
0.0145        	1.611898e+00	6.446181e-01	-3.729939e-02	1.593248e+00	-1.630548e+00
0.015         	1.585771e+00	6.341746e-01	-4.070809e-02	1.565417e+00	-1.606125e+00
0.0155        	1.562022e+00	6.246508e-01	-4.382884e-02	1.540108e+00	-1.583937e+00
0.016         	1.539487e+00	6.156277e-01	-4.681153e-02	1.516081e+00	-1.562893e+00
0.0165        	1.517970e+00	6.070938e-01	-4.931959e-02	1.493310e+00	-1.542630e+00
0.017         	1.498562e+00	5.993586e-01	-5.380277e-02	1.471661e+00	-1.525464e+00
0.0175        	1.483093e+00	5.931745e-01	-5.892153e-02	1.453632e+00	-1.512554e+00
0.018         	1.470805e+00	5.882345e-01	-6.415196e-02	1.438729e+00	-1.502881e+00
0.0185        	1.461556e+00	5.845400e-01	-6.843798e-02	1.427337e+00	-1.495775e+00
0.019         	1.455260e+00	5.819923e-01	-7.141421e-02	1.419553e+00	-1.490967e+00
0.0195        	1.450346e+00	5.800207e-01	-7.226587e-02	1.414213e+00	-1.486479e+00
0.02          	1.446188e+00	5.782930e-01	-7.186751e-02	1.410255e+00	-1.482122e+00
0.0205        	1.440044e+00	5.758821e-01	-7.101893e-02	1.404535e+00	-1.475553e+00
0.021         	1.433027e+00	5.730219e-01	-6.963011e-02	1.398212e+00	-1.467842e+00
